发送时间：2021-04-10 12:16:22 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:03:08 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:05:42 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:09:19 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:15:25 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:16:39 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:19:06 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 13:20:27 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 18:25:46 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 18:44:15 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 19:56:55 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2021-04-10 19:58:51 	 服务器地址：http://192.168.0.100:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。> 
发送时间：2021-04-10 20:00:12 	 服务器地址：http://192.168.1.7:8000/assets/report/ 	 返回结果：发送失败   错误原因：  <urlopen error [WinError 10061] 由于目标计算机积极拒绝，无法连接。> 
发送时间：2021-04-11 12:10:58 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2021-04-11 12:12:00 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：发送失败   错误原因：  HTTP Error 403: Forbidden 
发送时间：2021-04-11 12:12:54 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：成功收到数据！ 
发送时间：2021-04-11 17:01:01 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 18:01:12 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 18:03:32 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 18:06:21 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 18:07:12 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 18:08:21 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 18:48:06 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产已经加入或更新待审批区！ 
发送时间：2021-04-11 20:28:56 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2021-04-11 20:30:15 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2021-04-11 20:32:07 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2021-04-11 20:34:57 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2021-04-11 20:36:08 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2021-04-11 20:39:49 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
发送时间：2021-04-11 20:40:11 	 服务器地址：http://127.0.0.1:8000/assets/report/ 	 返回结果：资产数据已经更新！ 
